,LandContour,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,BsmtFullBath,FullBath,BedroomAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,Remodel,Garage_Remodel,LotArea,MasVnrArea,OpenPorchSF,WoodDeckSF,LotFrontage,GrLivArea,TotalBsmtArea,2ndFlrSF,AgeOfHouse,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,CentralAir_Y,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,Lotshape_1.0,Lotconfig_CulDSac,Lotconfig_FR,Lotconfig_Inside,NormCond_Yes,MasVnrTyp_None,MasVnrTyp_Stone,Electric_SBrkr,IsHalfBath_Yes,Saletype_Other,Saletype_Warranty,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,SalePrice
0,1.0,7,5,2.0,2.0,3.0,1.0,6.0,4.0,1.0,2,3,2.0,0,0.0,2.0,2.0,3.0,0,0,0.0,1.2515235455063607,0.8267568517158246,-0.9489599713609932,-0.14772661356820452,0.0,-0.38539244302173625,1.1831617330605364,-1.0891617058809788,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,208500
1,1.0,6,8,1.0,2.0,3.0,4.0,5.0,4.0,0.0,2,3,1.0,1,3.0,2.0,2.0,3.0,0,0,0.0,-0.8053179962652529,-1.080224217623321,1.216920312602708,0.5382987081290672,0.0,0.5144263662666104,-0.8650510624731955,0.1268996313048318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,181500
2,1.0,7,5,2.0,2.0,3.0,2.0,6.0,4.0,1.0,2,3,2.0,1,3.0,2.0,2.0,3.0,1,0,0.0,1.2165319739253784,0.6510305587828382,-0.9489599713609932,-0.005517015916749329,0.0,-0.2375372978203451,1.1857524273973252,-0.9325127297695408,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,223500
3,1.0,7,5,1.0,2.0,2.0,1.0,5.0,3.0,1.0,1,3,2.0,1,4.0,1.0,3.0,3.0,1,1,0.0,-0.8053179962652529,0.5661835432551027,-0.9489599713609932,-0.3911188671483735,0.0,-0.6220213763070054,1.1603251138133226,1.42117867143446,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,140000
4,1.0,8,5,2.0,2.0,3.0,3.0,6.0,4.0,1.0,2,4,2.0,1,3.0,2.0,3.0,3.0,0,0,0.0,1.3480866096992594,0.9793418399919295,1.0836681742004652,0.7116867236499108,0.0,0.26360315148738095,1.221549208843199,-0.863117285307989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,250000
5,1.0,5,5,1.0,2.0,3.0,1.0,6.0,4.0,1.0,1,1,1.0,0,0.0,1.0,2.0,3.0,1,0,0.0,-0.8053179962652529,0.4950194156594264,0.5723414396049618,0.7544781619766616,0.0,-0.5264977855720944,1.1045876794072005,-0.42783317806088905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,143000
6,1.0,8,5,2.0,2.0,4.0,3.0,6.0,4.0,1.0,2,3,2.0,1,4.0,2.0,2.0,3.0,1,0,0.0,1.2420741767576704,0.7946317712010385,1.1701964778500642,0.3162616465872836,0.0,1.3799525434645616,-0.8650510624731955,-1.2820677399078446,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,307000
7,1.0,7,6,1.0,2.0,3.0,2.0,5.0,4.0,1.0,2,3,1.0,2,3.0,2.0,2.0,3.0,0,0,0.0,1.2868986372675058,1.4103810266560712,1.1454820227122424,0.5382987081290672,0.0,0.1808021925524252,1.2090609214924466,0.27477638959340844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,200000
8,1.0,7,5,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2,2,1.0,2,3.0,1.0,2.0,2.0,1,0,0.0,-0.8053179962652529,-1.080224217623321,0.8435035571699167,-0.852168705951049,0.0,-0.16456510127322893,1.1593227384933216,1.1820263910514217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,129900
9,1.0,5,6,1.0,2.0,2.0,1.0,6.0,4.0,1.0,1,2,1.0,2,3.0,2.0,1.0,4.0,1,0,0.0,-0.8053179962652529,-0.35583750081504234,-0.9489599713609932,-0.9054579777892329,0.0,-0.07644083295921829,-0.8650510624731955,1.0334270397640073,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,118000
